Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$17.20,-0.10,-0.578%,35231087.00,United States,,1086,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.5504,-0.0027,-0.488%,75526663.00,Canada,2015,94113,,
ACU,Acme United Corporation. Common Stock,$45.02,0.13,0.29%,150466294.00,United States,1988,9739,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$9.0369,-0.0531,-0.584%,13969999.00,United States,,49897,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.78,0.00,0.00%,140587500.00,United States,2021,1,,
AE,Adams Resources & Energy Inc. Common Stock,$26.78,-0.02,-0.075%,113842182.00,United States,,2365,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.5838,0.0438,0.513%,435643112.00,United States,,6696,,
AGE,AgeX Therapeutics Inc. Common Stock,$1.3243,-0.0057,-0.429%,50237437.00,,2018,93044,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.1201,0.0001,0.005%,84146794.00,United States,,143171,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$9.8562,0.8062,8.908%,29663358.00,United States,2014,9794,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$1.32,0.01,0.763%,42240205.00,United States,,23759,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$2.70,0.30,12.50%,62703909.00,China,,645598,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$1.90,-0.03,-1.554%,371695343.00,United States,,266060,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$3.23,0.51,18.75%,18737230.00,United States,,3757981,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$22.30,0.75,3.48%,154924099.00,United States,2020,13124,Consumer Durables,Specialty Chemicals
APT,Alpha Pro Tech Ltd. Common Stock,$8.70,0.02,0.23%,118291786.00,Canada,,45909,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$4.10,-0.03,-0.726%,102255812.00,United States,,1911,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.265,-0.005,-0.394%,126240984.00,Canada,,139863,,
ASXC,Asensus Surgical Inc. Common Stock,$1.91,0.06,3.243%,444695427.00,United States,,1846978,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$7.4406,0.1606,2.206%,143199094.00,United States,,28656,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.7775,-0.0025,-0.321%,126320123.00,United States,,210443,,
AWX,Avalon Holdings Corporation Common Stock,$3.4566,0.0166,0.483%,13478773.00,United States,,3422,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.83,-0.03,-1.049%,401665222.00,Canada,,139690,,
BATL,Battalion Oil Corporation Common Stock,$13.10,0.10,0.769%,213099757.00,,,2449,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$31.47,0.58,1.878%,173644725.00,United States,,1188,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.68,0.0699,0.273%,,United States,,805,,
BDL,Flanigan's Enterprises Inc. Common Stock,$24.53,0.00,0.00%,45592611.00,United States,,15,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.11,0.0109,0.992%,13276161.00,United States,,110525,Capital Goods,Industrial Machinery/Components
BGI,Birks Group Inc. Common Stock,$1.91,0.05,2.688%,34324383.00,Canada,,143461,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$28.97,-0.08,-0.275%,432959460.00,United States,,1276,Finance,Major Banks
BKTI,BK Technologies Corporation Common Stock,$4.69,-0.09,-1.883%,58796049.00,United States,,1279,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$9.78,-0.02,-0.204%,119318954.00,,2018,1995,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$15.935,-0.065,-0.406%,296674595.00,,,13913,Finance,Commercial Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$9.07,-0.10,-1.091%,208406197.00,,2014,107156,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.38,-0.14,-0.549%,,,,200,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.34,0.01,0.039%,,,,197,,
BRN,Barnwell Industries Inc. Common Stock,$2.76,0.08,2.985%,22844962.00,United States,,335514,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.8899,-0.0601,-1.214%,5143205749.00,Canada,,3490707,,
BTN,Ballantyne Strong Inc. Common Stock,$5.12,-0.18,-3.396%,93703905.00,United States,,114838,Miscellaneous,Industrial Machinery/Components
BTX,Brooklyn ImmunoTherapeutics Inc. Common Stock,$51.3399,-3.8501,-6.976%,2131333131.00,United States,,3321235,,
BWL/A,Bowl America Inc.,$10.71,0.30,2.882%,,United States,,1199,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.10,-0.05,-2.326%,36102240.00,Israel,,52449,,
CCF,Chase Corporation Common Stock,$118.64,-0.12,-0.101%,1120954735.00,United States,,8076,,
CDOR,Condor Hospitality Trust Inc. Common Stock,$3.97,0.03,0.761%,47719960.00,United States,,2477,,
CEI,Camber Energy Inc. Common Stock,$0.6994,0.0105,1.524%,24755360.00,United States,,946648,,
CET,Central Securities Corporation Common Stock,$38.90,0.00,0.00%,1020751677.00,United States,,72,,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$13.60,0.02,0.147%,97016620.00,United States,1999,4786,,
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$10.10,0.00,0.00%,108860881.00,,2020,10012,,
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$9.89,0.01,0.101%,119016260.00,,2021,1689,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.505,0.005,0.143%,183328776.00,United States,,327510,,
CIX,CompX International Inc. Common Stock,$22.82,1.72,8.152%,282994403.00,United States,1998,11357,,
CKX,CKX Lands Inc. Common Stock,$11.8504,0.00,0.00%,23019343.00,United States,,58,,
